Número,Texto,Bloco,Resposta Correta,Arquivo Prova
11,"Imagine-se num atendimento na Unidade Básica de Saúde como médico generalista, atendendo um paciente de 72 anos com síndrome demencial, com resultado de TSH de 14,5 mUI/L (valor de referência: 0,4 - 4,5 mUI/L). Sobre o caso acima e a partir dos seus conhecimentos sobre a homeostase hormonal, escolha a alternativa correta:  (A) A medida da concentração isolada de um hormônio reflete sua secreção dinâmica ao longo do tempo. (B) Os hormônios podem controlar a sua própria liberação a partir da regulação por retroalimentação positiva. (C) A regulação da liberação do TSH é um processo dinâmico, que se modifica constantemente para se adaptar às necessidades do indivíduo. (D) A elevação do TSH leva a uma diminuição na produção de hormônios tireoidianos e à diminuição da secreção de hormônios tireoidianos pré-formados.",,C,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
12,"Paciente de 36 anos, sexo masculino, procurou a Unidade Básica de Saúde com queixa de lesão no ombro direito, associada a alteração de sensibilidade (parestesia). Observou-se lesão em placa, bem delimitada, eritematosa com bordas bem delimitadas e elevadas. Foram levantadas as hipóteses diagnósticas de hanseníase, tuberculose cutânea, granuloma anular e micose superficial. Coletou-se material da lesão para exame anatomopatológico. A análise patológica mostrou uma dermatite crônica com envolvimento perineural e formação de granulomas epitelioides. Não havia necrose caseosa e globais. A pesquisa de microbactérias (coloração de Ziehl-Neelsen) e fungos (coloração de Grocott) foi negativa. Assinale a alternativa correta a respeito do caso acima:  (A) Os achados patológicos permitem o diagnóstico de hanseníase no polo virchowiano. (B) A ausência de necrose caseosa favorece o diagnóstico de tuberculose cutânea. (C) A presença de granulomas epitelioides encontra-se comumente associada a micoses cutâneas superficiais. (D) O diagnóstico de hanseníase é favorecido pela presença de inflamação perineural, mesmo na ausência de bacilos ao exame de microscopia.",,D,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
13,"Mãe está em consulta de puericultura com sua filha de 10 meses e gostaria de sanar dúvidas em relação às próximas vacinas que a lactente irá receber. Conhecendo a característica principal da Tríplice Viral, como você explica a resposta imunológica específica esperada em relação a esta vacina?  (A) Por ser uma vacina de vetor viral, ocorrerá um recrutamento importante de linfócitos TCD4 e produção de anticorpos da classe IgA, que auxiliarão em infecções futuras. (B) Por ser uma vacina de vírus atenuados, desencadeará uma resposta celular através de TCD8 e produção de anticorpos, acarretando memória imunológica. (C) Por ser uma vacina de vírus atenuados, será observada a presença de células TH1, com produção de anticorpos IgM de memória, principalmente. (D) Por ser uma vacina de vírus inativados, haverá predomínio de linfócitos TCD8, gerando uma memória eficaz.",,B,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
14,"Mulher de 30 anos vem à Unidade Básica de Saúde para controle após tratamento para leishmaniose cutânea, com persistência de múltiplas lesões cutâneas pelo corpo. A resistência ao tratamento antimonial efetuado pode estar associada a:  (A) Presença de um vírus RNA com efeito imunossupressor. (B) Menor número de formas metacíclicas. (C) Maior tolerância ao estresse. (D) Menor índice de infecção em macrófagos.",,C,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
15,"Homem de 40 anos é acompanhado pelo médico de família por espondilite anquilosante. Recentemente sua doença deixou de responder aos medicamentos de primeira linha, e ele será encaminhado ao serviço de Reumatologia para início de imunobiológico. Nega outras queixas e não possui outras comorbidades. Em relação ao manejo da tuberculose latente, qual a conduta recomendada neste caso?  (A) Solicitar baciloscopia do escarro. (B) Prescrever isoniazida por 9 meses. (C) Não há indicação de rastreio neste caso. (D) Solicitar prova tuberculínica e raio-x de tórax.",,D,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
16,"Paciente, sexo masculino, 65 anos, portador de hipertensão e diabetes, internado em enfermaria de clínica médica devido a quadro de descompensação diabética há 3 dias, evoluindo com rebaixamento do nível de consciência. Faz uso de Hidroclorotiazida 25mg de 12/12h, Enalapril 20mg de 24/24h, Propranolol 40mg de 8/8h, Metformina 1g de 12/12h e AAS 100mg. Durante o internamento apresentou parada cardiorrespiratória em ritmo de TORSADES DE POINTES; após 6 ciclos de reanimação cardiopulmonar, conforme os protocolos do ACLS, o paciente retornou à circulação espontânea. Assinale o fármaco que pode ter desencadeado a complicação do paciente acima descrito:  (A) Hidroclorotiazida (B) Propranolol (C) Metformina (D) Enalapril",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
17,"S.M., mulher, 45 anos, saudável, vem ao ambulatório de Genética Médica por apresentar um filho com diagnóstico de Hemofilia A, e gostaria de ter informações em relação à doença e suas chances de ter outro filho afetado com a mesma enfermidade. S.M. é filha de pai hemofílico. A hemofilia A é condicionada por um gene recessivo localizado no cromossomo X. Qual o correto aconselhamento genético neste caso?  (A) O risco de recorrência para cada filho do sexo masculino é de 25%. (B) É possível, apesar de raro, uma filha ser afetada pela doença. (C) O risco de recorrência para a prole de S.M. é de 50%. (D) O médico deve orientar fortemente S.M. a não ter outros filhos.",,B,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
18,"Uma criança de 7 anos é levada ao ambulatório de pediatria pela mãe, que relata ferimento na panturrilha direita com espinho há 5 dias e diminuição do apetite há 3 dias. Ao exame, a região afetada encontra-se difusamente hiperemiada, edemaciada e brilhante. A área alterada mostra limites pouco nítidos com as áreas normais, e sua temperatura está elevada quando comparada com a coxa ipsilateral. Há linfonodos palpáveis, discretamente aumentados, na região inguinal direita, móveis e dolorosos à palpação. A temperatura axilar foi de 38,1ºC. Vários são os mediadores envolvidos na gênese dos sinais e sintomas apresentados pela criança. Qual deles melhor explica o aparecimento de eritema e calor no local do ferimento?  (A) Histamina (B) Mieloperoxidase (C) Fator de Necrose Tumoral (D) P-Selectina",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
19,"Os carcinógenos podem ser qualquer fator que aumente o risco individual ao desenvolvimento de uma neoplasia maligna e participam de todas as etapas da carcinogênese: iniciação, promoção e progressão. Sobre os carcinógenos, analise as proposições a seguir:  I. Os agentes químicos causadores de câncer atuam com mais frequência em tecidos com a menor exposição de superfície, dentre eles cartilagem, sistema nervoso e trato gastrointestinal. II. A família dos hidrocarbonetos aromáticos policíclicos engloba alguns dos carcinógenos químicos mais potentes e mais bem estudados. III. A sociedade moderna encontra-se exposta a uma grande variedade de produtos tóxicos com grande potencial carcinogênico. IV. Entre os tipos de vírus de RNA que podem induzir cânceres, destacam-se: vírus linfotrópico de células T (HTLV-1), associado ao linfoma de células T; vírus da imunodeficiência humana 1 (HIV).  Estão corretas:  (A) Apenas I e II (B) Apenas II e III (C) Apenas II, III e IV (D) I, II, III e IV",,C,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
20,"Homem, 45 anos, chega ao serviço de pronto atendimento proveniente de um consultório odontológico, onde aspirou uma prótese dentária. Caso venha a ocorrer obstrução completa de brônquio principal, uma radiografia do tórax desse paciente poderá revelar, mais provavelmente:  (A) Desvio do mediastino para o lado direito e atelectasia pulmonar. (B) Desvio do mediastino para o lado esquerdo e pneumotórax. (C) Derrame pleural e desvio do mediastino para o lado direito. (D) Atelectasia pulmonar e desvio do mediastino para o lado esquerdo.",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
21,"A.C.S., 35 anos, nuligesta, vai em consulta com o ginecologista referindo aumento do fluxo menstrual em volume e duração, há cerca de 5 meses. Não está conseguindo usar absorvente comum por conta do volume de sangramento, necessitando algumas vezes até usar fralda descartável. Refere também durante esse período uma fraqueza generalizada e tontura. Em relação ao quadro clínico citado, assinale a alternativa correta:  (A) A realização da videolaparoscopia diagnóstica é o exame padrão ouro para identificar a causa do sangramento, sendo a miomatose uterina a hipótese diagnóstica. (B) O mioma é de provável localização anatômica submucosa, pois são os tipos mais comuns que cursam com sangramentos. (C) A miomectomia videolaparoscópica é o procedimento de escolha para o tratamento de miomatose uterina, já que os miomas possuem alto risco de malignização. (D) A histerectomia é o tratamento de escolha para o paciente acima. A provável anemia secundária ao sangramento deverá ser corrigida antes do procedimento.",,B,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
22,"Adolescente, 17 anos, GI/0, 36 semanas de gestação, chega à urgência obstétrica queixando-se de dor de cabeça, febre e mal- estar há 4 dias. Há 2 dias percebeu aparecimento de “bolhinhas” em vulva, muito dolorosas. Refere intenso ardor local ao urinar. Nega episódios semelhantes anteriores. Ao exame: BEG, febril (37,8°C), PA 110 x 70 mmHg, FC normal. DU ausente, AFU 35cm, BCF 148 bpm. Presença de lesões vesiculares dolorosas, agrupadas em faces internas de pequenos lábios. Toque vaginal não realizado. Presença de linfoadenopatia bilateral dolorosa e móvel. A paciente encontra-se muito ansiosa, pois deseja demais um parto vaginal, visando uma recuperação mais rápida, visto que ingressará em breve na universidade. Considerando o principal diagnóstico, qual a conduta mais adequada?  (A) Prescrever Aciclovir tópico e indicar cesariana, caso as lesões persistam até o momento do parto. (B) Prescrever Azitromicina oral e aguardar via de parto obstétrica quando desencadear trabalho de parto. (C) Prescrever Metronidazol, internamento para indução do trabalho de parto e aguardar via de parto obstétrica. (D) Prescrever Fanciclovir e internamento para realização imediata de cesariana.",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
23,"Paciente de 26 anos, portadora de Diabetes Tipo 1, comparece ao ambulatório queixando-se de prurido vulvovaginal, dispareunia e disúria, associados a corrimento brancacento abundante, sem odor. Considerando o principal diagnóstico, qual o tratamento mais adequado?  (A) Clindamicina, via vaginal (B) Metronidazol, via oral (C) Miconazol, via vaginal (D) Azitromicina, via oral",,C,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
24,"Mulher, 45 anos, Gesta 2 Para 1, parto cesárea, chega à Triagem Obstétrica com IG de 32 semanas e 3 dias, calculada por USG de primeiro trimestre corrigido, referindo perda de líquido pelos genitais há 20 horas. Ao exame, apresentava PA = 120 x 70 mmHg, FR= 20 irpm, temperatura axilar = 36,5ºC, altura uterina = 30cm, BCF 144 bpm, dinâmica uterina ausente. Ao exame especular observou-se líquido claro, sem grumos, exteriorizando-se pelo orifício cervical externo (OCE). Colo uterino aparentemente fechado. Cardiotocografia mostrou feto reativo, sem desacelerações. Leucograma normal. Qual a conduta adequada para o caso?  (A) Profilaxia para estreptococos do grupo B, sulfato de magnésio para neuroproteção e indução do parto. (B) Corticoterapia, profilaxia para estreptococos do grupo B e seguimento ambulatorial com vigilância da infecção materna. (C) Corticoterapia, antibiótico, sulfato de magnésio para neuroproteção e indução do parto com ocitocina. (D) Profilaxia para estreptococos do grupo B, corticoterapia, antibiótico e conduta expectante para o parto.",,D,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
25,"Mulher, 55 anos, procura o ambulatório de ginecologia com queixa de fogachos intensos e sudorese noturna, que prejudicam o sono. Refere tratamento anterior com fito-hormônios, sem melhora. É hipertensa controlada com dois fármacos, e tabagista de cerca de 5 cigarros ao dia. Qual o melhor esquema indicado para o tratamento nesse caso?  (A) Dose convencional de estrogênio e androgênio, via intramuscular. (B) Baixa dose de estrogênio e progestogênio, via transdérmica. (C) Altas doses de estrogênio e progestogênio, via vaginal. (D) Dose convencional de estrogênio e progestogênio, via oral.",,B,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
26,"Paciente, 23 anos, G1P1A0, retorna à triagem obstétrica no 3º DPO de cesárea apresentando astenia, dor em ferida operatória, dificuldade para amamentar, vertigem e cefaleia. Relata ter sido internada previamente, apresentando perda de líquido claro que escorria pelas pernas há 5 horas, sendo iniciada a indução do parto. Após inserção de 8 comprimidos de misoprostol sem sucesso, a cesárea foi indicada. Procedimento realizado sem intercorrências. Ao exame: EGR, eupneica, hipocorada (2+), febril ao toque, desidratada. FC: 120 bpm; FR: 16 ipm; PA: 90 x 60 mmHg; temperatura: 39°C; abdome doloroso difusamente à palpação; ferida operatória dolorosa à palpação profunda; toque vaginal: vagina aquecida, loquiação aumentada e com odor fétido. Útero doloroso à movimentação. Mamas com descarga papilar presente e fissuras bilaterais. Sem sinais flogísticos. Em relação ao diagnóstico mais provável para este caso, é correto afirmar:  (A) O uso de enema apresenta claro benefício na prevenção de desfechos como infecção puerperal e neonatal. (B) A endometrite é uma infecção polimicrobiana, e sua patogênese relaciona-se à contaminação da cavidade uterina com organismos vaginais durante o trabalho de parto, sendo uma complicação exclusiva do parto cirúrgico. (C) Trata-se de infecção da ferida operatória, e o principal agente etiológico é o Staphylococcus aureus. (D) O diagnóstico de endometrite é basicamente clínico e está fundamentado na presença de dor à mobilização uterina, lóquios purulentos, sangramento genital aumentado, taquicardia e febre.",,D,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
27,"Mulher, 30 anos de idade, primigesta, no curso da 16ª semana de gestação, é atendida em consulta de pré-natal na UBS. Ao exame, observa-se: regular estado geral, afebril, pressão arterial de 110/80 mmHg, mucosas descoradas 1+/4+. Os exames complementares revelaram presença de neutrófilos com granulações tóxicas e hemoglobina de 11 g/dL; glicemia sérica de jejum de 90 g/dL; AST: 30 (normal: até 38 U/L); ALT: 28 (normal até 41 U/L); atividade de protombina, colesterol, triglicerídeos, plaquetas e perfil tireoidiano sem alterações. A pesquisa dos marcadores virais para hepatites virais demonstrou Anti-HVA IgM, AgHbs, Anti-Hbc-IgM e HBeAg não reagentes; Anti-HVA IgG não reagente, Anti-Hbs reagentes; VDRL, IgM para toxoplasmose e HIV não regentes; IgG reagente para toxoplasmose. Sobre os resultados dos exames solicitados, podemos afirmar que a gestante apresenta:  (A) Imunidade para toxoplasmose (B) Imunidade para Hepatite A (C) Infecção pelo vírus da hepatite B (D) Infecção bacteriana",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
28,"Mulher primigesta, 30 anos, 33 semanas de gestação, deu entrada na maternidade com 6cm de dilatação, evoluindo para parto normal. Possui RH negativo e no curso da 30ª semana de gestação foi administrada imunoglobulina anti-D. No dia do internamento foi realizada coleta para teste de Coombs, com resultado positivo. A conduta para a puérpera é:  (A) Administrar nova dose de imunoglobulina anti-D, se o RN tiver RH positivo. (B) Orientação para realizar pré-natal de alto risco na próxima gestação. (C) Expectante, visto que recebeu imunoglobulina anti-D no pré- natal. (D) Deverá aguardar o teste de Coombs direto do RN e, se esse for negativo, deverá ser administrada nova dose de imunoglobulina anti-D.",,C,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
29,"Mulher de 23 anos de idade, em uso de Paroxetina 40mg ao dia há 18 meses, devido a transtorno de ansiedade generalizada leve, documentado no prontuário, procura a Unidade Básica de Saúde porque acabou de saber que está grávida e deseja iniciar o pré-natal. Diz que a ansiedade está bem melhor há quase um ano e que não sente mais sintomas que eram comuns quando começou o tratamento. Relata ter muito medo de que algo de ruim aconteça com o bebê, pois sabe que alguns medicamentos podem prejudicar o desenvolvimento do feto e gostaria de saber se o remédio é seguro. Qual a melhor orientação?  (A) Trocar pela amitriptilina, um tricíclico, para maior segurança do feto. (B) Aumentar a dose da paroxetina, já que existe a possibilidade de piora do quadro. (C) Permanecer com o mesmo medicamento, totalmente seguro na gravidez e lactação. (D) Substituir por sertralina, que seria a melhor opção para ansiedade e depressão na gravidez.",,D,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
30,"Mulher de 30 anos chega à emergência com queixa de dor pélvica de forte intensidade e sangramento moderado iniciados há cerca de 2 dias. Vinha com atraso menstrual há 2 meses. O resultado do β-hCG foi de 3000 UI/mL. Exame físico mostra estabilidade hemodinâmica. Traz US transvaginal, que mostra útero de volume normal, sem conteúdo intracavitário, e massa em anexo esquerdo de 5,5cm, sem atividade cardíaca fetal. Que fator é indicativo de conduta cirúrgica nesse caso?  (A) Tamanho da massa anexial (B) β-hCG 3000 UI/mL (C) Atividade cardíaca fetal ausente (D) Idade gestacional acima de 8 semanas",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
31,"Mulher de 28 anos, casada, primigesta, com 20 semanas de idade gestacional, procurou a unidade de saúde devido a lesões papulares nas palmas das mãos e queda de cabelos e das pontas das sobrancelhas. Informou ter tido uma ferida na vulva há cerca de dois meses, que desapareceu sozinha. Vem com resultados de exames: VDRL estava reagente (titulagem = 1/16). Qual a melhor conduta terapêutica e orientação de controle?  (A) Penicilina benzatina 2,4 milhões de UI, em 3 doses, com novo exame VDRL em 3 meses. (B) Penicilina G cristalina 18 milhões de UI, em 7 dias, com novo VDRL após 60 dias. (C) Penicilina benzatina 2,4 milhões de UI, em dose única, com novo exame VDRL em 1 mês. (D) Deve-se repetir o exame de VDRL com FTA-Abs para decidir início de tratamento e orientação sobre controle.",,C,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
32,"Primigesta de 32 anos retorna à consulta pré-natal sem queixas, com 30 semanas de gestação, trazendo resultado de TTGO de 75g, realizado há 15 dias, cujos valores foram: 88 mg/dL em jejum; 188 mg/dL de 1h e 150 mg/dL de 2h. Realizou também glicemia de jejum com 14 semanas, com resultado 91 mg/dL. Qual o diagnóstico e o tratamento adequados neste caso?  (A) Diabetes gestacional – dieta e monitoração glicêmica (B) Diabetes gestacional – iniciar insulinoterapia (C) Diabetes mellitus – iniciar insulinoterapia (d) Diabetes mellitus – iniciar metformina",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
33,"Mulher de 40 anos comparece à unidade básica sem queixas clínicas, para receber o resultado de seu exame citopatológico do colo uterino. Resultado - Tipo de espécime: convencional, satisfatório para avaliação; Descrição: células escamosas superficiais, intermediárias e parabasais, bem como células cilíndricas glandulares em meio a leucócitos; Microbiologia: bacilos, cocos; Conclusão: negativo para lesão intraepitelial e malignidade. Sabendo-se que seu último exame foi há 1 ano, sem anormalidades, qual a orientação adequada neste caso, de acordo com as diretrizes vigentes do Ministério da Saúde do Brasil?  (A) Tranquilizar a paciente e repetir o exame em 1 ano. (B) Tranquilizar a paciente e repetir o exame em 3 anos. (C) Realizar tratamento do processo inflamatório e repetir a coleta a seguir. (D) Realizar tratamento do processo inflamatório e repetir a coleta em 1 ano.",,B,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
34,"Paciente, 52 anos, procura ginecologista para rotina. Encontra-se assintomática. Ao exame clínico das mamas, percebem-se mamas extremamente densas e espessamento em QSL/mama direita. Traz mamografia realizada há 30 dias, que revela imagem nodular de contornos irregulares em QSL/mama direita. BIRADS 0. Foi solicitado ecografia das mamas, que revelou imagem hipoecogênica, contornos irregulares às 10h da mama direita, 2,8x2,5x1,6cm, a 1,8cm da pele e a 2cm da aréola. BIRADS 4. Encaminhada ao mastologista, que solicitou core biópsia do nódulo 10h da mama direita. Paciente retorna com laudo anatomopatológico de lesão proliferativa com atipias. Qual a conduta para essa paciente?  (A) Cirurgia (B) Expectante (C) Tamoxifeno (D) Mamografia semestral",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
35,"Primigesta de 20 anos foi avaliada no centro obstétrico, com evidência de BCF = 148 bpm, 3 contrações de cerca de 30 segundos a cada 10 minutos e colo dilatado 4cm e apagado ao toque, da mesma forma que mostrou a sua última avaliação há 3 horas. A paciente está bastante chorosa e nervosa, gritando repetidas vezes. Qual a melhor conduta?  (A) Prescrever dolantina para alívio da dor. (B) Solicitar analgesia peridural contínua. (C) Indicar cesárea, devido à parada de progressão. (D) Orientar deambulação para acelerar a evolução do trabalho de parto.",,B,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
